id,created_at,updated_at,street_id,city_id,street_kladr,street_type_id,street_type_full,street_type_short,name
1893,2022-11-15T12:51:17.566820Z,2022-11-15T12:51:17.566430Z,9007,1,200000009007,6,улица,ул.,Жангир хана
933,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,246,1,200000000246,6,улица,ул.,Жандарбекова
462,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,37,1,200000000037,6,улица,ул.,Жандосова
1970,2022-11-19T16:55:46.447984Z,2022-11-19T16:55:46.447083Z,10948,1,200000010948,6,улица,ул.,Жапсарбаева
903,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,215,1,200000000215,6,улица,ул.,Жарокова
275,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,7128,1,200000007128,13,микрорайон,мкр.,Жас Канат
433,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,6,1,200000000006,6,улица,ул.,Желтоксан
444,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,17,1,200000000017,13,микрорайон,мкр.,Жетысу 1
445,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,18,1,200000000018,13,микрорайон,мкр.,Жетысу 2
446,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,19,1,200000000019,13,микрорайон,мкр.,Жетысу 3
479,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,59,1,200000000059,13,микрорайон,мкр.,Жетысу 4
464,2020-09-03T10:26:20.338Z,2022-11-15T12:48:23.228834Z,39,1,200000000039,8,проспект,просп.,Жибек Жолы
3486,2025-01-31T10:28:49.555055Z,2025-01-31T10:28:49.554858Z,51515,1,200000051515,6,улица,ул.,Жидели
475,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,55,1,200000000055,6,улица,ул.,Жубанова
1319,2020-09-03T10:26:20.482Z,2020-09-03T10:26:20.482Z,1057,1,200000001057,13,микрорайон,мкр.,Жулдыз 1
1318,2020-09-03T10:26:20.482Z,2020-09-03T10:26:20.482Z,1056,1,200000001056,13,микрорайон,мкр.,Жулдыз 2
401,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,8063,1,200000008063,6,улица,ул.,Жунисова
1999,2023-03-29T12:49:07.697884Z,2023-03-29T12:49:07.696265Z,50032,1,200000050032,6,улица,ул.,Журавлёва
1041,2020-09-03T10:26:20.446Z,2020-09-03T10:26:20.446Z,303,1,200000000303,6,улица,ул.,Жургенова
1334,2020-09-03T10:26:20.482Z,2020-09-03T10:26:20.482Z,1072,1,200000001072,6,улица,ул.,Закарпатская (Ахметова)
991,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,406,1,200000000406,6,улица,ул.,Зенкова
338,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,7381,1,200000007381,13,микрорайон,мкр.,Зердели
1358,2020-09-03T10:26:20.482Z,2020-09-03T10:26:20.482Z,1104,1,200000001104,6,улица,ул.,Зорге Рихарда
1177,2020-09-03T10:26:20.446Z,2020-09-03T10:26:20.446Z,522,1,200000000522,6,улица,ул.,Иванова-Сокольского
1971,2022-11-19T18:43:42.731893Z,2022-11-19T18:43:42.731256Z,10928,1,200000010928,6,улица,ул.,Илтипат
908,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,220,1,200000000220,6,улица,ул.,Исаева Ураза
952,2020-09-03T10:26:20.409Z,2022-11-15T12:48:20.845046Z,267,1,200000000267,6,улица,ул.,Ислама Каримова
900,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,212,1,200000000212,6,улица,ул.,Кабанбай батыра
1455,2020-09-03T10:26:20.482Z,2020-09-03T10:26:20.482Z,1215,1,200000001215,6,улица,ул.,Кабдолова
1173,2020-09-03T10:26:20.446Z,2020-09-03T10:26:20.446Z,518,1,200000000518,6,улица,ул.,Каблукова
1277,2020-09-03T10:26:20.446Z,2020-09-03T10:26:20.446Z,1011,1,200000001011,6,улица,ул.,Кавказская
2124,2024-05-30T12:29:45.451849Z,2024-05-30T12:29:45.449670Z,50157,1,200000050157,6,улица,ул.,Кадыргали Жалайыри
925,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,238,1,200000000238,6,улица,ул.,Кажимукана
3495,2025-01-31T10:33:35.497287Z,2025-01-31T10:33:35.497052Z,51524,1,200000051524,6,улица,ул.,Казакпаева
758,2020-09-03T10:26:20.374Z,2020-09-03T10:26:20.374Z,676,1,200000000676,13,микрорайон,мкр.,Казахфильм
