street_id,street_name,house,sub_house,is_available,full_address,latitude,longitude,gis_full_name,provider
403,микрорайон Айнабулак 2,75,,1,"Алматы г., микрорайон Айнабулак 2, 75",43.318071,76.914872,"Алматы, Айнабулак 2 микрорайон, 75",beeline
403,микрорайон Айнабулак 2,79,,1,"Алматы г., микрорайон Айнабулак 2, 79",43.317437,76.91565,"Алматы, Айнабулак 2 микрорайон, 79",beeline
402,микрорайон Айнабулак 1,10,,1,"Алматы г., микрорайон Айнабулак 1, 10",43.322178,76.910471,"Алматы, Айнабулак 1-й микрорайон, 10",beeline
402,микрорайон Айнабулак 1,1,,1,"Алматы г., микрорайон Айнабулак 1, 1",43.321216,76.913229,"Алматы, Айнабулак 1-й микрорайон, 1",beeline
210,улица Айманова,85,,1,"Алматы г., улица Айманова, 85",43.241541,76.896585,"Алматы, улица Айманова, 85 / улица Курмангазы, 173",beeline
7863,улица Абишева,36/8,,1,"Алматы г., улица Абишева, 36/8",43.235197,76.807958,"Алматы, Gulder, жилой комплекс",beeline
7863,улица Абишева,36/9,,1,"Алматы г., улица Абишева, 36/9",43.235174,76.808708,"Алматы, Gulder, жилой комплекс",beeline
236,проспект Абылай Хана,104,,1,"Алматы г., проспект Абылай Хана, 104",43.246725,76.942772,"Алматы, проспект Абылай хана, 104",beeline
236,проспект Абылай Хана,112/116,,1,"Алматы г., проспект Абылай Хана, 112/116",43.245839,76.942941,"Алматы, проспект Абылай хана, 112/116 / улица Шевченко, 70",beeline
236,проспект Абылай Хана,113,,1,"Алматы г., проспект Абылай Хана, 113",43.252219,76.941286,"Алматы, проспект Абылай хана, 113 / улица Карасай батыра, 61-67",beeline
236,проспект Абылай Хана,115,,1,"Алматы г., проспект Абылай Хана, 115",43.250914,76.94126,"Алматы, проспект Абылай хана, 115 / улица Карасай батыра, 60",beeline
236,проспект Абылай Хана,121,,1,"Алматы г., проспект Абылай Хана, 121",43.249238,76.941672,"Алматы, проспект Абылай хана, 121 / улица Желтоксан, 142",beeline
236,проспект Абылай Хана,123,,1,"Алматы г., проспект Абылай Хана, 123",43.248463,76.94189,"Алматы, проспект Абылай хана, 123",beeline
236,проспект Абылай Хана,127,,1,"Алматы г., проспект Абылай Хана, 127",43.246537,76.942121,"Алматы, проспект Абылай хана, 127",beeline
236,проспект Абылай Хана,131,,1,"Алматы г., проспект Абылай Хана, 131",43.245866,76.941856,"Алматы, улица Шевченко, 72 / проспект Абылай хана, 131",beeline
236,проспект Абылай Хана,145,,1,"Алматы г., проспект Абылай Хана, 145",43.244001,76.942421,"Алматы, проспект Абылай хана, 145",beeline
236,проспект Абылай Хана,147,,1,"Алматы г., проспект Абылай Хана, 147",43.243226,76.942445,"Алматы, проспект Абылай хана, 147",beeline
236,проспект Абылай Хана,24,,1,"Алматы г., проспект Абылай Хана, 24",43.268597,76.940034,"Алматы, проспект Абылай хана, 24",beeline
236,проспект Абылай Хана,26,,1,"Алматы г., проспект Абылай Хана, 26",43.268756,76.940843,"Алматы, проспект Абылай хана, 26",beeline
236,проспект Абылай Хана,27,,1,"Алматы г., проспект Абылай Хана, 27",43.269407,76.939235,"Алматы, проспект Абылай хана, 27",beeline
236,проспект Абылай Хана,28,,1,"Алматы г., проспект Абылай Хана, 28",43.268372,76.940892,"Алматы, проспект Абылай хана, 28",beeline
236,проспект Абылай Хана,30,,1,"Алматы г., проспект Абылай Хана, 30",43.267867,76.940955,"Алматы, проспект Абылай хана, 30",beeline
7863,улица Абишева,36/7,,1,"Алматы г., улица Абишева, 36/7",43.234265,76.80708,"Алматы, Gulder, жилой комплекс",beeline
236,проспект Абылай Хана,32,,1,"Алматы г., проспект Абылай Хана, 32",43.267871,76.940139,"Алматы, проспект Абылай хана, 32",beeline
7863,улица Абишева,36/6,,1,"Алматы г., улица Абишева, 36/6",43.235019,76.807478,"Алматы, Gulder, жилой комплекс",beeline
7863,улица Абишева,36/3,,1,"Алматы г., улица Абишева, 36/3",43.235708,76.806577,"Алматы, Gulder, жилой комплекс",beeline
8244,улица Абиша Кекилбайулы,119,,1,"Алматы г., улица Абиша Кекилбайулы, 119",43.211785,76.888122,"Алматы, улица Абиша Кекилбайулы, 119",beeline
8244,улица Абиша Кекилбайулы,129,,1,"Алматы г., улица Абиша Кекилбайулы, 129",43.209978,76.887549,"Алматы, улица Абиша Кекилбайулы, 129",beeline
8244,улица Абиша Кекилбайулы,129/3,,1,"Алматы г., улица Абиша Кекилбайулы, 129/3",43.209525,76.886365,"Алматы, улица Абиша Кекилбайулы, 129/3",beeline
8244,улица Абиша Кекилбайулы,26,,1,"Алматы г., улица Абиша Кекилбайулы, 26",43.212754,76.889449,"Алматы, улица Абиша Кекилбайулы, 26",beeline
8244,улица Абиша Кекилбайулы,264блок5,,1,"Алматы г., улица Абиша Кекилбайулы, 264блок5",43.203282,76.890366,"Алматы, Mega Tower Almaty, жилой комплекс",beeline
8244,улица Абиша Кекилбайулы,264блок6,,1,"Алматы г., улица Абиша Кекилбайулы, 264блок6",43.203597,76.890649,"Алматы, Mega Tower Almaty, жилой комплекс",beeline
8244,улица Абиша Кекилбайулы,264блок7,,1,"Алматы г., улица Абиша Кекилбайулы, 264блок7",43.203896,76.890003,"Алматы, Mega Tower Almaty, жилой комплекс",beeline
8244,улица Абиша Кекилбайулы,28,,1,"Алматы г., улица Абиша Кекилбайулы, 28",43.212423,76.889505,"Алматы, улица Абиша Кекилбайулы, 28",beeline
8244,улица Абиша Кекилбайулы,38А,,1,"Алматы г., улица Абиша Кекилбайулы, 38А",43.2042,76.891341,"Алматы, Mega Tower Almaty, жилой комплекс",beeline
8244,улица Абиша Кекилбайулы,38В,,1,"Алматы г., улица Абиша Кекилбайулы, 38В",43.204414,76.891778,"Алматы, Mega Tower Almaty, жилой комплекс",beeline
8244,улица Абиша Кекилбайулы,38Г,,1,"Алматы г., улица Абиша Кекилбайулы, 38Г",43.204438,76.890817,"Алматы, Mega Tower Almaty, жилой комплекс",beeline
8244,улица Абиша Кекилбайулы,97а,,1,"Алматы г., улица Абиша Кекилбайулы, 97а",43.213506,76.886613,"Алматы, Аманат, жилой комплекс",beeline
7863,улица Абишева,36/1,,1,"Алматы г., улица Абишева, 36/1",43.235158,76.806734,"Алматы, Gulder, жилой комплекс",beeline
7863,улица Абишева,36/12,,1,"Алматы г., улица Абишева, 36/12",43.236276,76.808686,"Алматы, Gulder, жилой комплекс",beeline
7863,улица Абишева,36/13,,1,"Алматы г., улица Абишева, 36/13",43.235874,76.807972,"Алматы, Gulder, жилой комплекс",beeline
7863,улица Абишева,36/13к2,,1,"Алматы г., улица Абишева, 36/13к2",43.236258,76.807993,"Алматы, Гульдер, жилой комплекс",beeline
7863,улица Абишева,36/13к3,,1,"Алматы г., улица Абишева, 36/13к3",43.236458,76.808202,"Алматы, Gulder, жилой комплекс",beeline
7863,улица Абишева,36/5,,1,"Алматы г., улица Абишева, 36/5",43.235435,76.807472,"Алматы, Gulder, жилой комплекс",beeline
236,проспект Абылай Хана,33,,1,"Алматы г., проспект Абылай Хана, 33",43.26866,76.939329,"Алматы, проспект Абылай хана, 33",beeline
236,проспект Абылай Хана,33/1,,1,"Алматы г., проспект Абылай Хана, 33/1",43.268905,76.938718,"Алматы, проспект Абылай хана, 33/1",beeline
236,проспект Абылай Хана,37,,1,"Алматы г., проспект Абылай Хана, 37",43.268187,76.938994,"Алматы, проспект Абылай хана, 37",beeline
210,улица Айманова,200,,1,"Алматы г., улица Айманова, 200",43.230019,76.898656,"Алматы, улица Айманова, 200",beeline
210,улица Айманова,202,,1,"Алматы г., улица Айманова, 202",43.229694,76.898449,"Алматы, улица Айманова, 202",beeline
210,улица Айманова,202а,,1,"Алматы г., улица Айманова, 202а",43.229996,76.897996,"Алматы, улица Айманова, 202а",beeline
210,улица Айманова,204,,1,"Алматы г., улица Айманова, 204",43.229357,76.898076,"Алматы, улица Айманова, 204",beeline
210,улица Айманова,206,,1,"Алматы г., улица Айманова, 206",43.229145,76.898517,"Алматы, улица Айманова, 206",beeline
210,улица Айманова,208,,1,"Алматы г., улица Айманова, 208",43.228884,76.898798,"Алматы, улица Айманова, 208",beeline
210,улица Айманова,210,,1,"Алматы г., улица Айманова, 210",43.228531,76.898462,"Алматы, улица Айманова, 210",beeline
210,улица Айманова,216,,1,"Алматы г., улица Айманова, 216",43.22723,76.898742,"Алматы, улица Айманова, 216",beeline
210,улица Айманова,218,,1,"Алматы г., улица Айманова, 218",43.226921,76.898441,"Алматы, улица Айманова, 218",beeline
210,улица Айманова,220,,1,"Алматы г., улица Айманова, 220",43.226666,76.898815,"Алматы, улица Айманова, 220",beeline
210,улица Айманова,222,,1,"Алматы г., улица Айманова, 222",43.226194,76.898876,"Алматы, улица Айманова, 222",beeline
210,улица Айманова,224,,1,"Алматы г., улица Айманова, 224",43.225906,76.898576,"Алматы, улица Айманова, 224",beeline
210,улица Айманова,226,,1,"Алматы г., улица Айманова, 226",43.225643,76.898944,"Алматы, улица Айманова, 226 / улица Тимирязева, 95",beeline
210,улица Айманова,3,,1,"Алматы г., улица Айманова, 3",43.250608,76.895399,"Алматы, улица Айманова, 3",beeline
210,улица Айманова,33,,1,"Алматы г., улица Айманова, 33",43.24887,76.895587,"Алматы, улица Айманова, 33 / Богенбай батыра улица, 280",beeline
210,улица Айманова,68,,1,"Алматы г., улица Айманова, 68",43.246986,76.896381,"Алматы, улица Айманова, 68",beeline
210,улица Айманова,70,,1,"Алматы г., улица Айманова, 70",43.245548,76.896571,"Алматы, улица Айманова, 70 / улица Жамбыла, 209",beeline
210,улица Айманова,198,,1,"Алматы г., улица Айманова, 198",43.230348,76.898354,"Алматы, улица Айманова, 198",beeline
210,улица Айманова,196,,1,"Алматы г., улица Айманова, 196",43.230618,76.897915,"Алматы, улица Айманова, 196",beeline
210,улица Айманова,194,,1,"Алматы г., улица Айманова, 194",43.230905,76.898282,"Алматы, улица Айманова, 194",beeline
210,улица Айманова,193г,,1,"Алматы г., улица Айманова, 193г",43.226098,76.897681,"Алматы, улица Айманова, 193г",beeline
236,проспект Абылай Хана,39,,1,"Алматы г., проспект Абылай Хана, 39",43.267674,76.939059,"Алматы, проспект Абылай хана, 39",beeline
236,проспект Абылай Хана,46,,1,"Алматы г., проспект Абылай Хана, 46",43.264241,76.940601,"Алматы, проспект Абылай хана, 46 / улица Макатаева, 91",beeline
