"consumer_id";"devices_count";"frequency";"recency";"monetary"
12512811;2;"35.5";"3.75";"1873.21428572"
12512856;1;"48.0";"5.5";"1873.22321429"
12512915;2;"69.25";"3.0";"1873.21428572"
12512953;2;"33.75";"25.75";"2321.42857142"
12512969;1;"45.0";"2.5";"1873.22321429"
12512992;2;"68.5";"2.5";"2678.57142858"
12513001;2;"79.0";"2.0";"2321.42857142"
12513009;1;"66.0";"2.0";"2678.57142857"
12513011;1;"61.0";"3.0";"1339.28571429"
12513014;2;"56.75";"4.0";"1873.21428572"
12513040;2;"43.25";"7.25";"2321.42857142"
12513046;1;"29.5";"13.0";"1873.21428572"
12513072;2;"24.5";"11.5";"2678.57142858"
12513099;3;"88.66666666666667";"2.333333333333333";"5357.14285716"
12513107;2;"52.0";"2.75";"2678.57142858"
12513119;1;"48.0";"5.0";"1873.22321429"
12513120;2;"84.25";"2.5";"2678.57142858"
12513140;2;"42.0";"14.25";"1873.21428572"
12513169;2;"78.5";"2.25";"2321.42857142"
12513171;2;"51.25";"3.75";"1873.21428572"
12513184;2;"28.5";"6.25";"2946.42857142"
12513186;2;"88.5";"2.25";"2678.57142858"
12513228;1;"33.5";"8.5";"1873.22321429"
12513243;2;"88.75";"2.0";"3089.285714293333"
12513247;1;"76.0";"2.0";"2678.57142857"
12513262;1;"84.5";"2.0";"2678.57142857"
12513272;2;"59.0";"3.25";"2857.1428571400006"
12513273;2;"45.5";"6.25";"2678.57142858"
12513279;2;"27.75";"41.0";"2678.57142858"
12513285;1;"27.0";"3.5";"2809.82142858"
12513296;1;"67.0";"5.0";"2321.42857143"
12513306;1;"63.0";"3.0";"2321.42857143"
12513358;3;"46.16666666666666";"4.333333333333333";"3282.7291666700003"
12513362;2;"39.0";"24.0";"2321.42857142"
12513365;2;"63.75";"2.25";"1873.21428572"
12513366;2;"89.25";"2.0";"2824.404761913333"
12513367;1;"35.5";"2.5";"1873.22321429"
12513373;2;"72.75";"3.5";"2321.42857142"
12513382;4;"78.5";"2.5";"6556.276785730001"
12513389;1;"33.5";"8.0";"2678.57142858"
12513405;1;"66.0";"2.5";"1769.6964285633333"
12513433;2;"38.75";"14.75";"2678.5714285800004"
12513446;2;"42.25";"4.75";"2321.42857142"
12513449;1;"68.5";"2.0";"1873.22321429"
12513456;2;"6.0";"21.0";"1873.21428572"
12513457;1;"49.0";"5.5";"2678.57142857"
12513472;1;"78.0";"2.0";"2321.42857143"
12513486;2;"81.75";"2.25";"1873.21428572"
12513490;1;"86.5";"4.0";"3821.42857143"
12513498;1;"75.5";"3.0";"2678.57142857"
12513510;1;"59.5";"2.0";"1873.22321429"
12513518;2;"69.75";"2.0";"2321.42857142"
12513529;2;"87.5";"2.5";"2678.57142858"
12513552;2;"81.0";"2.0";"2321.42857142"
12513566;2;"48.5";"7.0";"1873.21428572"
12513568;1;"71.5";"2.5";"2678.57142858"
12513572;1;"3.5";"37.5";"1873.21428572"
12513583;1;"82.0";"2.5";"1873.21428572"
12513603;1;"49.5";"4.5";"936.60714286"
12513616;2;"70.75";"3.0";"2678.57142858"
12513665;2;"30.25";"2.0";"1873.21428572"
12513693;2;"72.25";"2.5";"2321.42857142"
12513701;1;"19.0";"3.5";"1873.21428572"
12513723;1;"49.5";"9.0";"1873.21428572"
12513792;2;"36.5";"13.25";"2823.827380953333"
12513803;1;"80.0";"2.5";"2678.57142857"
12513807;2;"75.75";"3.0";"1873.21428572"
12513855;1;"76.5";"3.0";"2678.57142858"
12513876;2;"33.25";"5.75";"1873.21428572"
12513886;2;"52.5";"3.0";"1873.21428572"
12513894;1;"20.0";"38.5";"2321.42857143"
12513899;2;"39.0";"13.5";"2678.57142858"
12513911;1;"88.5";"2.0";"2321.42857143"
12513924;2;"44.25";"7.75";"1873.21428572"
12513951;2;"57.75";"2.75";"2678.57142858"
12513991;2;"78.0";"2.0";"1873.21428572"
12514016;1;"16.5";"58.0";"1873.22321429"
12514025;1;"64.0";"2.0";"2678.57142857"
12514045;2;"22.25";"5.0";"2008.91071428"
12514051;2;"76.75";"2.0";"1873.21428572"
12514066;2;"57.25";"2.75";"1992.73809524"
12514073;1;"83.5";"2.0";"1873.22321429"
12514111;1;"17.0";"23.5";"1873.21428572"
12514159;2;"41.25";"3.5";"2723.214285723333"
