id,parent_id,type,name,original_id,full_address,coordX,coordY
35,3.0,street,99АРХИВ_УДАРНЫЙ,88737,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_УДАРНЫЙ",,
36,3.0,street,АКМОЛИНСКИЙ,88768,"Карагандинская область, г.Караганда, г.Караганда, АКМОЛИНСКИЙ",,
37,3.0,street,АКСАЙСКИЙ,88769,"Карагандинская область, г.Караганда, г.Караганда, АКСАЙСКИЙ",,
38,3.0,street,КАПЧАГАЙСКИЙ,89481,"Карагандинская область, г.Караганда, г.Караганда, КАПЧАГАЙСКИЙ",,
39,3.0,street,ЗЕЛЕНЫЙ 5,89486,"Карагандинская область, г.Караганда, г.Караганда, ЗЕЛЕНЫЙ 5",,
40,3.0,street,99АРХИВ_БАЛТИЙСКИЙ,89617,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_БАЛТИЙСКИЙ",,
41,3.0,street,БРАТСКИЙ,89623,"Карагандинская область, г.Караганда, г.Караганда, БРАТСКИЙ",,
42,3.0,street,ЗАСЛОНОВА,89534,"Карагандинская область, г.Караганда, г.Караганда, ЗАСЛОНОВА",,
43,3.0,street,ЗЕЛЕНЫЙ 3,86835,"Карагандинская область, г.Караганда, г.Караганда, ЗЕЛЕНЫЙ 3",,
44,3.0,street,ГЕОЛОГИЧЕСКИЙ,89635,"Карагандинская область, г.Караганда, г.Караганда, ГЕОЛОГИЧЕСКИЙ",,
45,3.0,street,ДОНСКОЙ,89639,"Карагандинская область, г.Караганда, г.Караганда, ДОНСКОЙ",,
46,3.0,street,ЕСИЛЬСКИЙ,89642,"Карагандинская область, г.Караганда, г.Караганда, ЕСИЛЬСКИЙ",,
47,3.0,street,КИСЛОРОДНЫЙ,89666,"Карагандинская область, г.Караганда, г.Караганда, КИСЛОРОДНЫЙ",,
48,3.0,street,ЛИПЕЦКИЙ,89671,"Карагандинская область, г.Караганда, г.Караганда, ЛИПЕЦКИЙ",,
49,3.0,street,99АРХИВ_МЕЛЬНИЧНЫЙ,89679,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_МЕЛЬНИЧНЫЙ",,
50,3.0,street,ШУШЕНСКИЙ,86841,"Карагандинская область, г.Караганда, г.Караганда, ШУШЕНСКИЙ",,
51,3.0,street,АРХИТЕКТУРНЫЙ,88051,"Карагандинская область, г.Караганда, г.Караганда, АРХИТЕКТУРНЫЙ",,
52,3.0,street,МИРНЫЙ,88898,"Карагандинская область, г.Караганда, г.Караганда, МИРНЫЙ",,
53,3.0,street,99АРХИВ_БОЛЬШОЙ,88165,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_БОЛЬШОЙ",,
54,3.0,street,ВЕСЕННИЙ,88171,"Карагандинская область, г.Караганда, г.Караганда, ВЕСЕННИЙ",,
55,3.0,street,ИЗЫСКАТЕЛЬСКИЙ,88189,"Карагандинская область, г.Караганда, г.Караганда, ИЗЫСКАТЕЛЬСКИЙ",,
56,3.0,street,СУВОРОВА А.,90509,"Карагандинская область, г.Караганда, г.Караганда, СУВОРОВА А.",,
57,3.0,street,99АРХИВ_КОЛХОЗНЫЙ,88208,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_КОЛХОЗНЫЙ",,
58,3.0,street,КРАСНОДАРСКИЙ,88209,"Карагандинская область, г.Караганда, г.Караганда, КРАСНОДАРСКИЙ",,
59,3.0,street,МУЗЕЙНЫЙ,88227,"Карагандинская область, г.Караганда, г.Караганда, МУЗЕЙНЫЙ",,
60,3.0,street,ПРОЕКТНЫЙ,88249,"Карагандинская область, г.Караганда, г.Караганда, ПРОЕКТНЫЙ",,
61,3.0,street,ОНЕЖСКИЙ,88992,"Карагандинская область, г.Караганда, г.Караганда, ОНЕЖСКИЙ",,
62,3.0,street,ЗЕЛЕНЫЙ 2,88995,"Карагандинская область, г.Караганда, г.Караганда, ЗЕЛЕНЫЙ 2",,
63,3.0,street,ЗЕЛЕНЫЙ 8,88996,"Карагандинская область, г.Караганда, г.Караганда, ЗЕЛЕНЫЙ 8",,
