id,parent_id,type,name,tree,path
2166,1999.0,town,с.Жон,    с.Жон,Карагандинская область > Абайский район > с.Жон
2167,2166.0,street,"ОТД ЖОН, (с.Жон)","      ОТД ЖОН, (с.Жон)","Карагандинская область > Абайский район > с.Жон > ОТД ЖОН, (с.Жон)"
2168,2166.0,street,ЮБИЛЕЙНОЕ ОТД. ЖОН,      ЮБИЛЕЙНОЕ ОТД. ЖОН,Карагандинская область > Абайский район > с.Жон > ЮБИЛЕЙНОЕ ОТД. ЖОН
2169,1999.0,town,с.Карнак,    с.Карнак,Карагандинская область > Абайский район > с.Карнак
2170,1999.0,town,с.Тасзаемка,    с.Тасзаемка,Карагандинская область > Абайский район > с.Тасзаемка
2171,1999.0,town,с.Коксу,    с.Коксу,Карагандинская область > Абайский район > с.Коксу
2172,2171.0,street,КОКСУ ОТД.ЮЖНОЕ,      КОКСУ ОТД.ЮЖНОЕ,Карагандинская область > Абайский район > с.Коксу > КОКСУ ОТД.ЮЖНОЕ
2173,2171.0,street,КОКСУН УЧ СЕВЕР,      КОКСУН УЧ СЕВЕР,Карагандинская область > Абайский район > с.Коксу > КОКСУН УЧ СЕВЕР
2174,2171.0,street,КОКСУ УЛ.ПОЧТОВАЯ.,      КОКСУ УЛ.ПОЧТОВАЯ.,Карагандинская область > Абайский район > с.Коксу > КОКСУ УЛ.ПОЧТОВАЯ.
2175,2171.0,street,КОКСУ,      КОКСУ,Карагандинская область > Абайский район > с.Коксу > КОКСУ
2176,2171.0,street,КОКСУ УЛ.ОКТЯБРЬСКАЯ,      КОКСУ УЛ.ОКТЯБРЬСКАЯ,Карагандинская область > Абайский район > с.Коксу > КОКСУ УЛ.ОКТЯБРЬСКАЯ
2177,2171.0,street,КОКСУ ОТД.ЗЕЛЕНЫЕ КЛЮЧИ,      КОКСУ ОТД.ЗЕЛЕНЫЕ КЛЮЧИ,Карагандинская область > Абайский район > с.Коксу > КОКСУ ОТД.ЗЕЛЕНЫЕ КЛЮЧИ
2178,2171.0,street,КОКСУ УЛ.ЦЕНТРАЛЬНАЯ,      КОКСУ УЛ.ЦЕНТРАЛЬНАЯ,Карагандинская область > Абайский район > с.Коксу > КОКСУ УЛ.ЦЕНТРАЛЬНАЯ
2179,1999.0,town,с.Жартас (Коксунский с.о.),    с.Жартас (Коксунский с.о.),Карагандинская область > Абайский район > с.Жартас (Коксунский с.о.)
2180,2179.0,street,ЖАРТАС САДОВАЯ,      ЖАРТАС САДОВАЯ,Карагандинская область > Абайский район > с.Жартас (Коксунский с.о.) > ЖАРТАС САДОВАЯ
2181,1999.0,town,с.Зеленые Ключи,    с.Зеленые Ключи,Карагандинская область > Абайский район > с.Зеленые Ключи
2182,1999.0,town,с.Северное,    с.Северное,Карагандинская область > Абайский район > с.Северное
2183,2182.0,street,КОКСУ  ОТД.СЕВЕРНОЕ,      КОКСУ  ОТД.СЕВЕРНОЕ,Карагандинская область > Абайский район > с.Северное > КОКСУ  ОТД.СЕВЕРНОЕ
2184,2182.0,street,"СЕВЕРНОЕ, (с.Северное)","      СЕВЕРНОЕ, (с.Северное)","Карагандинская область > Абайский район > с.Северное > СЕВЕРНОЕ, (с.Северное)"
2185,1999.0,town,с.Южное,    с.Южное,Карагандинская область > Абайский район > с.Южное
2186,2185.0,street,"Гагарина, (с.Южное)","      Гагарина, (с.Южное)","Карагандинская область > Абайский район > с.Южное > Гагарина, (с.Южное)"
2187,1999.0,town,п.Карабас,    п.Карабас,Карагандинская область > Абайский район > п.Карабас
2188,2187.0,street,КАРАБАС ул. КИРОВА,      КАРАБАС ул. КИРОВА,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул. КИРОВА
2189,2187.0,street,КАРАБАС ул. СТЕПНАЯ,      КАРАБАС ул. СТЕПНАЯ,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул. СТЕПНАЯ
2190,2187.0,street,КАРАБАС ул. ЗАВОДСКАЯ,      КАРАБАС ул. ЗАВОДСКАЯ,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул. ЗАВОДСКАЯ
2191,2187.0,street,КАРАБАС ул. НОВАЯ,      КАРАБАС ул. НОВАЯ,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул. НОВАЯ
2192,2187.0,street,КАРАБАС ул. ПОЧТОВАЯ,      КАРАБАС ул. ПОЧТОВАЯ,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул. ПОЧТОВАЯ
2193,2187.0,street,КАРАБАС ул.ТАЛДЫ КУДУК,      КАРАБАС ул.ТАЛДЫ КУДУК,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул.ТАЛДЫ КУДУК
2194,2187.0,street,КАРАБАС УЛ.АБАЯ,      КАРАБАС УЛ.АБАЯ,Карагандинская область > Абайский район > п.Карабас > КАРАБАС УЛ.АБАЯ
2195,2187.0,street,КАРАБАС ул. ЗЕЛЕНАЯ,      КАРАБАС ул. ЗЕЛЕНАЯ,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул. ЗЕЛЕНАЯ
2196,2187.0,street,КАРАБАС ул. РАБОЧАЯ,      КАРАБАС ул. РАБОЧАЯ,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул. РАБОЧАЯ
2197,2187.0,street,КАРАБАС ул. ДЖАМБУЛА,      КАРАБАС ул. ДЖАМБУЛА,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул. ДЖАМБУЛА
2198,2187.0,street,КАРАБАС ул. ОКТЯРЬСКАЯ,      КАРАБАС ул. ОКТЯРЬСКАЯ,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул. ОКТЯРЬСКАЯ
2199,2187.0,street,КАРАБАС УЛ.СОВЕТСКАЯ,      КАРАБАС УЛ.СОВЕТСКАЯ,Карагандинская область > Абайский район > п.Карабас > КАРАБАС УЛ.СОВЕТСКАЯ
2200,2187.0,street,Карабас ул.Школьная,      Карабас ул.Школьная,Карагандинская область > Абайский район > п.Карабас > Карабас ул.Школьная
2201,2187.0,street,Байтерек,      Байтерек,Карагандинская область > Абайский район > п.Карабас > Байтерек
2202,2187.0,street,КАРАБАС ул. ПЕСЧАНАЯ,      КАРАБАС ул. ПЕСЧАНАЯ,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул. ПЕСЧАНАЯ
2203,2187.0,street,КАРАБАС УЛ ИНТЕРНАЦИОНАЛЬНАЯ,      КАРАБАС УЛ ИНТЕРНАЦИОНАЛЬНАЯ,Карагандинская область > Абайский район > п.Карабас > КАРАБАС УЛ ИНТЕРНАЦИОНАЛЬНАЯ
2204,2187.0,street,"ТРАНСФОРМАТОРНАЯ, (п.Карабас)","      ТРАНСФОРМАТОРНАЯ, (п.Карабас)","Карагандинская область > Абайский район > п.Карабас > ТРАНСФОРМАТОРНАЯ, (п.Карабас)"
2205,2187.0,street,КАРАБАС ул. ПАРКОВАЯ,      КАРАБАС ул. ПАРКОВАЯ,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул. ПАРКОВАЯ
2206,2187.0,street,Карабас ул.Новая,      Карабас ул.Новая,Карагандинская область > Абайский район > п.Карабас > Карабас ул.Новая
2207,2187.0,street,КАРАБАС ул. МОЛОДЕЖНАЯ,      КАРАБАС ул. МОЛОДЕЖНАЯ,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул. МОЛОДЕЖНАЯ
2208,2187.0,street,Строительная,      Строительная,Карагандинская область > Абайский район > п.Карабас > Строительная
2209,2187.0,street,КАРАБАС УЛ.ЖЕЛЕЗНОДОРОЖНАЯ,      КАРАБАС УЛ.ЖЕЛЕЗНОДОРОЖНАЯ,Карагандинская область > Абайский район > п.Карабас > КАРАБАС УЛ.ЖЕЛЕЗНОДОРОЖНАЯ
2210,2187.0,street,КАРАБАС ул. ДЗЕРЖИНСКОГО,      КАРАБАС ул. ДЗЕРЖИНСКОГО,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул. ДЗЕРЖИНСКОГО
2211,2187.0,street,КАРАБАС ул. МИРА,      КАРАБАС ул. МИРА,Карагандинская область > Абайский район > п.Карабас > КАРАБАС ул. МИРА
2212,1999.0,town,с.Жартас (Карагандинский с.о.),    с.Жартас (Карагандинский с.о.),Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.)
2213,2212.0,street,С.ЖАРТАС,      С.ЖАРТАС,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > С.ЖАРТАС
2214,2212.0,street,ЖАРТАС УЛ.ГАГАРИНА,      ЖАРТАС УЛ.ГАГАРИНА,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > ЖАРТАС УЛ.ГАГАРИНА
2215,2212.0,street,Динмухамед Конаев,      Динмухамед Конаев,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > Динмухамед Конаев
2216,2212.0,street,Гулдер,      Гулдер,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > Гулдер
2217,2212.0,street,Мектеп,      Мектеп,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > Мектеп
